metro_code,race,total_applications,approvals,approval_rate,year,metro_name
12060,Black or African American,6239,5020,0.8046161243789068,2018,"Atlanta-Sandy Springs-Roswell, GA"
12060,White,20339,18433,0.9062884114263238,2018,"Atlanta-Sandy Springs-Roswell, GA"
12420,Black or African American,368,308,0.8369565217391305,2018,"Austin-Round Rock-San Marcos, TX"
12420,White,11024,10027,0.9095609579100146,2018,"Austin-Round Rock-San Marcos, TX"
12580,Black or African American,1604,1379,0.8597256857855362,2018,"Baltimore-Columbia-Towson, MD"
12580,White,8409,7821,0.9300749197288619,2018,"Baltimore-Columbia-Towson, MD"
16740,Black or African American,1918,1620,0.8446298227320125,2018,"Charlotte-Concord-Gastonia, NC-SC"
16740,White,12748,11672,0.9155946030749922,2018,"Charlotte-Concord-Gastonia, NC-SC"
19740,Black or African American,536,482,0.8992537313432836,2018,"Denver-Aurora-Centennial, CO"
19740,White,19524,17871,0.9153349723417332,2018,"Denver-Aurora-Centennial, CO"
26420,Black or African American,2569,2120,0.8252238224990268,2018,"Houston-The Woodlands-Sugar Land, TX"
26420,White,21455,19252,0.8973199720344908,2018,"Houston-The Woodlands-Sugar Land, TX"
33460,Black or African American,965,845,0.8756476683937824,2018,"Minneapolis-St. Paul-Bloomington, MN-WI"
33460,White,19561,18550,0.948315525791115,2018,"Minneapolis-St. Paul-Bloomington, MN-WI"
36740,Black or African American,1252,1002,0.8003194888178914,2018,"Orlando-Kissimmee-Sanford, FL"
36740,White,12003,10432,0.8691160543197534,2018,"Orlando-Kissimmee-Sanford, FL"
38060,Black or African American,1049,909,0.8665395614871306,2018,"Phoenix-Mesa-Chandler, AZ"
38060,White,29923,27353,0.9141128897503592,2018,"Phoenix-Mesa-Chandler, AZ"
40140,Black or African American,889,737,0.829021372328459,2018,"Riverside-San Bernardino-Ontario, CA"
40140,White,14407,12683,0.8803359478031513,2018,"Riverside-San Bernardino-Ontario, CA"
41180,Black or African American,626,498,0.7955271565495208,2018,"St. Louis, MO-IL"
41180,White,10561,9710,0.9194205094214563,2018,"St. Louis, MO-IL"
41700,Black or African American,290,238,0.8206896551724138,2018,"San Antonio-New Braunfels, TX"
41700,White,7741,6834,0.8828316754941222,2018,"San Antonio-New Braunfels, TX"
41740,Black or African American,211,165,0.7819905213270142,2018,"San Diego-Chula Vista-Carlsbad, CA"
